time,altitude,acceleration
408.655,269.7470283,10.2773692
408.815,268.9698263,10.01258965
408.974,268.238342,10.81673495
409.117,267.4398049,11.0619012
409.277,266.7448948,9.9635564
409.437,265.8823529,9.9047165
409.598,264.876562,11.0226746
409.754,263.913441,10.44408225
409.914,262.9990856,9.89490985
410.074,262.0176775,10.30678915
410.234,260.8838769,11.6503002
410.394,259.8689424,10.87557485
410.537,259.1130753,9.89490985
410.697,258.1712892,9.99297635
410.858,257.3788479,9.610517
411.018,256.5224017,8.7083052
411.181,255.5684243,10.7088618
411.401,254.507772,10.4342756
411.594,253.5294118,10.2773692
411.764,252.6363913,10.16949605
411.913,251.6946053,9.38496405
412.085,250.7924413,11.0226746
412.235,249.9055166,10.5127288
412.414,248.9210607,9.8458766
412.557,248.0097531,10.6696352
412.718,247.1441634,9.16921775
412.878,246.3090521,11.3561007
413.037,245.5227065,11.1207411
413.194,244.7241695,10.69905515
413.378,244.0384029,9.3555441
413.538,243.3587321,11.179581
413.697,242.6150564,10.79712165
413.858,241.7860408,11.13054775
414.021,240.7711064,11.4933938
414.214,240.0274307,10.34601575
414.381,239.0003048,9.9439431
414.554,238.0798537,11.2776475
414.714,237.0801585,10.03220295
414.882,236.0591283,11.0422879
415.057,235.1996343,11.26784085
415.218,234.5230113,9.95374975
415.374,233.7732399,10.28717585
415.534,232.8253581,11.0422879
415.694,231.9902469,10.95402805
415.854,231.1033222,10.03220295
415.997,230.2316367,9.9831697
416.158,229.4239561,10.65982855
416.319,228.4974093,10.62060195
416.478,227.3605608,10.26756255
416.638,226.2633343,10.71866845
416.794,225.3185005,10.4931155
416.954,224.3889058,10.46369555
417.114,223.4532155,9.2378643
417.274,222.5266687,10.28717585
417.457,221.618409,10.65982855
417.62,220.5851874,11.18938765
417.815,219.7500762,10.2185293
417.994,218.7351417,9.58109705
418.154,217.869552,10.75789505
418.319,217.0344407,10.62060195
418.484,216.2145687,10.30678915
418.65,215.4952758,10.4735022
418.813,214.6662603,9.91452315
418.963,213.8402926,11.07170785
419.124,213.0996647,11.1207411
419.293,212.4230418,10.6107953
419.454,211.5848827,10.983448
419.621,210.6949101,9.5320638
419.791,210.1005791,10.4342756
419.953,208.6650411,10.0420096
420.121,207.9213654,10.7284751
420.293,207.1472112,9.5909037
420.443,206.3303871,9.3751574
420.586,205.6202377,9.01231135
420.732,204.83694,9.9635564
420.883,204.1024078,9.50264385
421.033,203.4593112,10.1008495
421.204,203.0265163,10.62060195
421.364,202.2432185,10.05181625
421.506,201.7647059,10.71866845
421.66,201.0789393,10.30678915
421.827,200.3809814,9.5712904
422.024,199.5153916,10.3362091
422.191,198.5736056,10.56176205
422.368,197.8116428,10.983448
422.523,197.0313929,9.28689755
422.69,196.2572386,9.80665
422.854,195.3916489,9.12999115
423.014,194.5778726,10.79712165
423.174,193.8768668,10.09104285
423.342,192.9564157,10.79712165
423.517,192.1700701,10.75789505
423.716,191.2648583,10.3165958
423.867,190.4693691,9.9439431
424.016,189.6647364,9.12999115
424.169,188.9698263,9.4536106
424.333,188.073758,10.3754357
424.482,187.0801585,10.3558224
424.625,186.3852484,9.95374975
424.771,185.4830844,10.38524235
424.947,184.5321548,10.1793027
425.107,183.5416032,10.75789505
425.305,182.3255105,11.0815145
425.463,181.2039012,10.97364135
425.624,180.2682109,10.69905515
425.766,179.3386163,10.6696352
425.919,178.3358732,10.6304086
426.079,177.3910393,10.81673495
426.247,176.4888753,11.375714
426.399,175.7391039,10.14988275
426.563,174.8704663,10.18910935
426.712,174.2365133,9.9635564
426.884,173.0966169,10.52253545
427.033,172.438281,10.20872265
427.204,171.3959159,9.89490985
427.346,170.7345322,10.36562905
427.499,169.8506553,10.67944185
427.659,168.9210607,10.05181625
427.827,168.0158488,9.7281968
427.99,167.1167327,11.30706745
428.167,166.025602,10.75789505
428.329,165.1447729,9.8262633
428.487,164.1816519,10.2381426
428.684,163.0569948,9.80665
428.851,162.0420603,9.99297635
429.031,160.902164,10.7088618
429.224,159.9512344,10.07142955
429.366,159.0124962,10.6892485
429.519,158.1956721,9.8262633
429.679,157.2081682,9.1790244
429.847,156.0499848,9.610517
430.044,154.9436148,9.8458766
430.206,154.1328863,11.03248125
430.374,153.2977751,9.8654899
430.541,152.5480037,10.1400761
430.713,151.7403231,9.5516771
430.874,150.8960683,9.9635564
431.034,150.0792441,10.60098865
431.194,149.2319415,10.1793027
431.362,148.4059738,9.93413645
431.505,147.4489485,10.99325465
431.656,146.4980189,11.03248125
431.81,145.4983237,9.9439431
431.977,144.6053033,11.4149406
432.141,143.7366657,11.2776475
432.334,142.5297165,9.9831697
432.503,141.7281317,10.36562905
432.645,141.0667479,11.3953273
432.8,140.2103017,10.2773692
432.967,139.405669,10.591182
433.127,138.4760744,10.93441475
433.28,137.8329778,10.32640245
433.444,137.1045413,9.5320638
433.592,136.2633343,11.1599677
433.754,135.3367876,9.8851032
433.924,134.3431881,10.81673495
434.065,133.1606218,9.85568325
434.212,132.1914051,9.9831697
434.362,131.5208778,9.6693569
434.505,130.5181347,9.6301303
434.651,129.4574825,10.62060195
434.801,128.5553185,9.7478101
434.977,127.8543127,10.0812362
435.133,126.9734837,10.48330885
435.293,126.1200853,10.67944185
435.461,125.2270649,10.26756255
435.638,124.2852789,11.11093445
435.798,123.4471198,10.198916
435.961,122.3895154,9.79684335
436.154,121.3380067,11.1011278
436.296,120.3230722,10.22833595
436.449,119.3569034,10.48330885
436.61,118.4699787,10.44408225
436.778,117.6592502,10.1793027
436.934,116.885096,10.198916
437.082,116.1231332,11.1991943
437.253,114.9039927,11.69933345
437.421,113.8982018,10.1008495
437.597,112.9320329,10.3362091
437.794,111.8409022,9.4536106
